<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010622,13041.89,13079.11,12940.58,13044.61,0
20010625,13052.96,13073.49,12823.45,12896.47,0
20010626,12856.15,13026.80,12837.80,12978.82,0
20010627,12936.52,12987.85,12828.98,12828.98,0
20010628,12853.65,12876.56,12567.26,12679.88,0
20010629,12843.95,12985.21,12819.46,12969.05,0
20010702,12929.66,12929.66,12629.51,12751.18,0
20010703,12855.50,12922.15,12747.05,12817.41,0
20010704,12801.46,12801.46,12584.99,12629.02,0
20010705,12563.44,12676.83,12515.51,12607.30,0
20010706,12499.30,12499.30,12289.61,12306.08,0
20010709,12191.31,12239.68,12029.20,12239.68,0
20010710,12247.94,12382.29,12143.94,12300.41,0
20010711,12178.25,12178.25,12005.11,12005.11,0
20010712,12133.05,12407.95,12133.05,12407.95,0
20010713,12417.56,12444.56,12294.04,12355.15,0
20010716,12408.39,12408.39,12263.45,12343.37,0
20010717,12215.47,12224.71,12102.94,12128.57,0
20010718,12121.41,12135.31,11847.73,11892.58,0
20010719,11898.11,11980.25,11863.12,11908.39,0
20010723,11902.23,11902.23,11531.68,11609.63,0
20010724,11608.86,11883.25,11562.38,11883.25,0
20010725,11823.10,12054.30,11760.97,11891.61,0
20010726,11914.34,11962.73,11822.77,11858.56,0
20010727,11862.41,11948.20,11706.47,11798.08,0
20010730,11846.00,11868.14,11539.16,11579.27,0
20010731,11656.65,11877.84,11656.65,11860.77,0
20010801,11920.64,11972.25,11817.76,11959.33,0
20010802,12072.11,12407.37,12060.50,12399.20,0
20010803,12336.51,12365.88,12241.27,12241.97,0
20010806,12170.11,12327.23,12095.11,12243.90,0
20010807,12154.72,12388.61,12079.55,12319.46,0
20010808,12265.24,12293.39,12129.37,12163.67,0
20010809,12036.99,12043.05,11754.56,11754.56,0
20010810,11683.22,11870.91,11683.22,11735.06,0
20010813,11697.12,11697.12,11417.70,11477.56,0
20010814,11587.04,11936.75,11587.04,11917.95,0
20010815,11812.00,11823.92,11648.86,11755.40,0
20010816,11645.30,11645.30,11450.77,11515.02,0
20010817,11537.69,11581.25,11412.36,11445.54,0
20010820,11347.24,11358.09,11239.45,11257.94,0
20010821,11317.13,11370.61,11159.27,11280.38,0
20010822,11220.25,11504.06,11202.67,11396.43,0
20010823,11414.99,11414.99,11104.18,11126.92,0
20010824,11190.54,11230.14,11075.42,11166.31,0
20010827,11273.96,11366.18,11273.96,11275.01,0
20010828,11255.68,11267.95,11049.86,11189.40,0
20010829,11087.15,11142.31,10973.27,10979.76,0
20010830,10918.54,10969.06,10807.75,10938.45,0
20010831,10811.37,10860.70,10684.16,10713.51,0
20010903,10729.60,10758.90,10409.68,10409.68,0
20010904,10413.71,10772.59,10325.83,10772.59,0
